cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,lof_score,lof_outlier,shap_dominante,shap_dominante_valor
2700607,Barra de São Miguel,AL,2,1.0324842546019413,False,lat,0.325773911387246
2700706,Batalha,AL,2,1.0572306483156795,False,idhm,0.26802887381420754
2700805,Belém,AL,2,1.1864579802829698,False,lat,0.27361801717769924
2700904,Belo Monte,AL,2,1.114728659210457,False,lat,0.25792727720965186
2701001,Boca da Mata,AL,2,1.237729890444269,False,lat,0.2938657876022646
2701100,Branquinha,AL,2,1.7974672555282012,True,idhm,0.2247992534932745
2701209,Cacimbinhas,AL,2,1.0224068265753798,False,lat,0.21006344455768608
2701308,Cajueiro,AL,2,1.110700262608869,False,idhm,0.2908503444670628
2701357,Campestre,AL,2,0.9764004447186009,False,lat,0.22899672527570902
2701407,Campo Alegre,AL,2,1.107826364541053,False,lat,0.22417618889611182
2701506,Campo Grande,AL,2,1.0583118572092116,False,idhm,0.20415207745420488
2701605,Canapi,AL,2,1.1464630894849872,False,lat,0.1967238080411049
2701704,Capela,AL,2,0.9804775189329119,False,lat,0.23966049165775416
2701803,Carneiros,AL,2,1.096068183492784,False,lat,0.19297783654726738
