cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,lof_score,lof_outlier,IND2,IND4,IND5,IND8,IND9,INF1,INF4-UP,pib_agropecuaria,pib_industria,pib_per_capita,area_km2,densidade,pop_rural,idhm
2613008,São Bento do Una,PE,2,1.6992145084591006,True,-0.48775014583680615,-0.08819263937116932,0.28974144703811616,0.5157421768796051,-0.019091982697105027,0.3488473058110465,1.1649761766274689,3.3937028616599534,-0.1471040592445565,-0.22289685471550372,-0.14386178146945192,-0.0794020710419337,2.6880975430496314,-0.9196932288491736
2611101,Petrolina,PE,2,1.6696919189226338,True,-0.6698802586134442,0.2750342801436608,0.06253533489429192,0.18256171063398133,0.5422258940720133,-0.5465200465910486,1.717300805572811,3.0512889938384866,0.2638196332830231,-0.2774320409470678,0.5416754167945532,-0.05245994202600988,3.894487413140252,0.5246641724341158
2204501,Guadalupe,PI,2,1.666911596232659,True,0.6004721860914874,-0.29766967892649443,-1.6466496880609605,-2.5567530374894796,-5.317735875300655,0.06264333222493353,-0.6322149861352525,0.38377377017110537,-0.024639428362372703,0.6403630497727365,-0.08902375796049848,-0.17816186523879482,-0.7240722549869427,-0.12807426853044684
2111763,Senador La Rocque,MA,2,1.6552255067550763,True,-0.8658733729788436,-4.054627871998782,-2.021161434961427,0.08484879131260602,-0.38400809573295014,-1.2429158837398868,2.364113553585826,-0.23974538885298763,-0.16565559087984016,-0.48877587150095003,-0.14046524570190266,-0.16150581417530108,-0.0021806422046305404,-0.7947007614304272
1703867,Cariri do Tocantins,TO,2,1.6541856330850955,True,-0.9354917288786412,-0.7966059322949631,-0.1183497912842358,0.6754588732748597,0.018522039895914624,0.6760611398089225,-0.6130599302628825,-0.013163266125739205,-0.1293661350994741,1.9375929921378814,-0.07122793714951366,-0.18898577733252842,-0.5564581585462065,0.038582354694548265
2512788,Riacho de Santo Antônio,PB,2,1.6482062537846756,True,-0.5919274176228103,-3.2916913266354015,-4.336569178893552,0.2514812247539817,0.1186543113251611,4.043949521726136,-0.6021907869363275,-0.4209875762494596,-0.16863659223575417,-0.44340608031791184,-0.2554491938013733,-0.15989231175139046,-0.7478115905343431,-0.9058051769137574
2100907,Araioses,MA,2,1.6408324423344731,True,-0.5626619235686362,0.6927239516885649,-0.8227095117036775,-0.8227496225612672,-3.0657266876277767,-0.5800836923719467,1.3439861595683835,-0.27892844511547193,-0.16549821251384483,-0.6368216622718877,0.047128819670020354,-0.1582956166443956,3.894487413140252,-1.9196329681991426
1508100,Tucuruí,PA,2,1.6340672226966344,True,-0.29802875046150834,-0.060173522507535354,-0.2753713244209443,-0.01470303885785463,0.4054013631337295,0.030167510641745384,-0.6019534820055117,-0.13538707339743675,1.8051474678438675,0.3407039531604249,0.09967780749257094,-0.12133632674669349,0.20445948312842294,0.09413456243621329
2801207,Canindé de São Francisco,SE,2,1.6301692535095302,True,-0.00560890458565972,-0.6270347588832691,0.22968210836692293,0.29515676409872244,0.63571507340163,-0.3555417819009026,-0.6455494622116433,-0.2975810594946796,0.99669079992843,1.427946345866635,-0.10550263843658923,-0.14668176065562244,0.7774407183861326,-1.2807825791699963
2912806,Ibirapuã,BA,2,1.627588037064179,True,-0.2767109728542827,-2.5319598034159103,-0.7950418678492004,0.5124991463417367,-5.463212540405762,0.5716369578304908,0.5261127778631993,-0.06971662607532206,-0.08478178880574824,0.4222750384984477,-0.13459396104168872,-0.17557353843377158,-0.266550515346135,-0.6280441382054321
